country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow,closedByAssumption
US,1000,150000,1,0,yahoo-auctions,buyee,courier-ecms,178990,,false,,,,,,fromjapan,180712,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,250000,1,0,yahoo-auctions,buyee,courier-ecms,295492,,false,,,,,,fromjapan,297214,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,3000,1,0,yahoo-auctions,buyee,courier-ecms,9030,,false,,,,,,zenmarket,10015,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,10000,1,0,yahoo-auctions,buyee,courier-ecms,17185,,false,,,,,,zenmarket,18171,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,30000,1,0,yahoo-auctions,buyee,courier-ecms,40486,,false,,,,,,zenmarket,41471,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,60000,1,0,yahoo-auctions,buyee,courier-ecms,75436,,false,,,,,,zenmarket,76421,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,100000,1,0,yahoo-auctions,buyee,courier-ecms,122037,,false,,,,,,zenmarket,123022,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,150000,1,0,yahoo-auctions,buyee,courier-ecms,180288,,false,,,,,,zenmarket,181274,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,250000,1,0,yahoo-auctions,buyee,courier-ecms,296790,,false,,,,,,zenmarket,297776,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,3000,1,0,yahoo-auctions,buyee,courier-ecms,9214,,false,,,,,,zenmarket,10579,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,10000,1,0,yahoo-auctions,buyee,courier-ecms,17370,,false,,,,,,zenmarket,18735,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,30000,1,0,yahoo-auctions,buyee,courier-ecms,40670,,false,,,,,,zenmarket,42035,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,60000,1,0,yahoo-auctions,buyee,courier-ecms,75620,,false,,,,,,zenmarket,76985,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,100000,1,0,yahoo-auctions,buyee,courier-ecms,122221,,false,,,,,,zenmarket,123586,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
