country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
GB,1000,10000,1,0,mercari,zenmarket,courier-ecms-express,18456,18456,false,,,,,,fromjapan,19307
GB,1000,30000,1,0,mercari,zenmarket,courier-ecms-express,44339,44339,false,,,,,,fromjapan,45209
GB,1000,60000,1,0,mercari,zenmarket,courier-ecms-express,82682,82682,false,,,,,,buyee,83859
GB,1000,100000,1,0,mercari,zenmarket,courier-ecms-express,133807,133807,false,,,,,,buyee,134702
GB,1000,150000,1,0,mercari,zenmarket,courier-ecms-express,197712,197712,false,,,,,,buyee,198256
GB,1000,250000,1,0,mercari,zenmarket,courier-fedex-lowcost,324937,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,325683
GB,2000,3000,1,0,mercari,zenmarket,courier-ecms-express,11713,12409,false,,,,,,buyee,13392
GB,2000,10000,1,0,mercari,zenmarket,courier-ecms-express,20418,21114,false,,,,,,buyee,22046
GB,2000,30000,1,0,mercari,zenmarket,courier-ecms-express,46354,47050,false,,,,,,buyee,48058
GB,2000,60000,1,0,mercari,zenmarket,courier-ecms-express,84697,85393,false,,,,,,buyee,86190
GB,2000,100000,1,0,mercari,zenmarket,courier-fedex-lowcost,135597,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,137033
GB,2000,150000,1,0,mercari,zenmarket,courier-fedex-lowcost,199150,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,200586
GB,2000,250000,1,0,mercari,zenmarket,courier-fedex-lowcost,326257,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,327693
GB,3000,3000,1,0,mercari,zenmarket,courier-ecms-express,12578,15361,false,,,,,,buyee,13392
GB,3000,10000,1,0,mercari,zenmarket,courier-ecms-express,21283,24066,false,,,,,,buyee,22046
GB,3000,30000,1,0,mercari,zenmarket,courier-ecms-express,47244,50027,false,,,,,,buyee,48058
GB,3000,60000,1,0,mercari,zenmarket,courier-fedex-lowcost,85418,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,86190
GB,3000,100000,1,0,mercari,zenmarket,courier-fedex-lowcost,136260,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,137033
GB,3000,150000,1,0,mercari,zenmarket,courier-fedex-lowcost,199814,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,200586
GB,3000,250000,1,0,mercari,zenmarket,courier-fedex-lowcost,326921,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,327693
GB,5000,3000,1,0,mercari,zenmarket,courier-fedex-lowcost,14987,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,16952
GB,5000,10000,1,0,mercari,zenmarket,courier-fedex-lowcost,23691,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,25606
GB,5000,30000,1,0,mercari,zenmarket,courier-fedex-lowcost,49449,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,51718
GB,5000,60000,1,0,mercari,zenmarket,courier-fedex-lowcost,87581,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,89851
GB,5000,100000,1,0,mercari,zenmarket,courier-fedex-lowcost,138424,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,140693
GB,5000,150000,1,0,mercari,zenmarket,courier-fedex-lowcost,201978,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,204247
GB,5000,250000,1,0,mercari,zenmarket,courier-fedex-lowcost,329085,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,331354
GB,8000,3000,1,0,mercari,zenmarket,courier-fedex-lowcost,14987,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,16952
GB,8000,10000,1,0,mercari,zenmarket,courier-fedex-lowcost,23691,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,25606
GB,8000,30000,1,0,mercari,zenmarket,courier-fedex-lowcost,49449,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,51718
GB,8000,60000,1,0,mercari,zenmarket,courier-fedex-lowcost,87581,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,89851
GB,8000,100000,1,0,mercari,zenmarket,courier-fedex-lowcost,138424,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,140693
GB,8000,150000,1,0,mercari,zenmarket,courier-fedex-lowcost,201978,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,204247
GB,8000,250000,1,0,mercari,zenmarket,courier-fedex-lowcost,329085,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,buyee,331354
DE,200,3000,1,0,mercari,zenmarket,small-packet-air,8742,8742,false,,,,,,fromjapan,8917
DE,200,10000,1,0,mercari,zenmarket,small-packet-air,17374,17374,false,,,,,,fromjapan,17501
DE,200,30000,1,0,mercari,fromjapan,small-packet-air,42950,42950,false,,,,,,buyee,43469
DE,200,60000,1,0,mercari,buyee,small-packet-air,81721,81721,false,,,,,,zenmarket,82146
DE,200,100000,1,0,mercari,buyee,small-packet-air,132722,132722,false,,,,,,zenmarket,133149
DE,200,150000,1,0,mercari,buyee,small-packet-air,196476,196476,false,,,,,,zenmarket,196901
DE,200,250000,1,0,mercari,zenmarket,courier-ecms-express,324407,324662,false,,,,,,buyee,326883
DE,500,3000,1,0,mercari,zenmarket,small-packet-air,9508,9508,false,,,,,,fromjapan,9580
DE,500,10000,1,0,mercari,zenmarket,small-packet-air,18140,18140,false,,,,,,fromjapan,18164
DE,500,30000,1,0,mercari,fromjapan,small-packet-air,43639,43639,false,,,,,,buyee,44157
DE,500,60000,1,0,mercari,buyee,small-packet-air,82408,82408,false,,,,,,zenmarket,82732
DE,500,100000,1,0,mercari,buyee,small-packet-air,133411,133411,false,,,,,,zenmarket,133734
DE,500,150000,1,0,mercari,buyee,small-packet-air,197163,197163,false,,,,,,zenmarket,197487
DE,500,250000,1,0,mercari,zenmarket,courier-ecms-express,324993,325622,false,,,,,,fromjapan,327072
DE,1000,3000,1,0,mercari,fromjapan,small-packet-air,10904,10904,false,,,,,,zenmarket,11039
DE,1000,10000,1,0,mercari,fromjapan,small-packet-air,19488,19488,false,,,,,,zenmarket,19671
DE,1000,30000,1,0,mercari,fromjapan,small-packet-air,45015,45015,false,,,,,,buyee,45533
DE,1000,60000,1,0,mercari,buyee,small-packet-air,83785,83785,false,,,,,,zenmarket,84700
DE,1000,100000,1,0,mercari,buyee,small-packet-air,134788,134788,false,,,,,,zenmarket,135703
DE,1000,150000,1,0,mercari,buyee,small-packet-air,198541,198541,false,,,,,,zenmarket,199455
DE,1000,250000,1,0,mercari,fromjapan,courier-fedex-economy,327234,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,327398
DE,2000,3000,1,0,mercari,fromjapan,courier-fedex-economy,14270,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,14748
DE,2000,10000,1,0,mercari,fromjapan,courier-fedex-economy,22854,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,23380
DE,2000,30000,1,0,mercari,fromjapan,courier-fedex-economy,48569,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,48921
DE,2000,60000,1,0,mercari,fromjapan,courier-fedex-economy,86820,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,87173
DE,2000,100000,1,0,mercari,fromjapan,courier-fedex-economy,137823,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,138176
DE,2000,150000,1,0,mercari,fromjapan,courier-fedex-economy,201576,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,201928
DE,2000,250000,1,0,mercari,fromjapan,courier-fedex-economy,329082,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,329434
DE,3000,3000,1,0,mercari,fromjapan,courier-fedex-economy,15203,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,15818
DE,3000,10000,1,0,mercari,fromjapan,courier-fedex-economy,23787,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,24450
DE,3000,30000,1,0,mercari,fromjapan,courier-fedex-economy,49540,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,50027
DE,3000,60000,1,0,mercari,fromjapan,courier-fedex-economy,87792,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,88279
DE,3000,100000,1,0,mercari,fromjapan,courier-fedex-economy,138794,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,139281
DE,3000,150000,1,0,mercari,fromjapan,courier-fedex-economy,202547,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,203035
DE,3000,250000,1,0,mercari,fromjapan,courier-fedex-economy,330053,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,330541
DE,5000,3000,1,0,mercari,zenmarket,courier-fedex,18711,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,18753
DE,5000,10000,1,0,mercari,fromjapan,courier-fedex-economy,27337,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,27343
DE,5000,30000,1,0,mercari,zenmarket,courier-fedex,53019,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,53232
DE,5000,60000,1,0,mercari,zenmarket,courier-fedex,91270,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,91484
DE,5000,100000,1,0,mercari,zenmarket,courier-fedex,142272,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,142485
DE,5000,150000,1,0,mercari,zenmarket,courier-fedex,206026,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,206239
DE,5000,250000,1,0,mercari,zenmarket,courier-fedex,333532,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,333745
DE,8000,3000,1,0,mercari,zenmarket,courier-fedex,18711,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,18753
DE,8000,10000,1,0,mercari,fromjapan,courier-fedex-economy,27337,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,zenmarket,27343
DE,8000,30000,1,0,mercari,zenmarket,courier-fedex,53019,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,53232
DE,8000,60000,1,0,mercari,zenmarket,courier-fedex,91270,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,91484
DE,8000,100000,1,0,mercari,zenmarket,courier-fedex,142272,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,142485
DE,8000,150000,1,0,mercari,zenmarket,courier-fedex,206026,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,206239
DE,8000,250000,1,0,mercari,zenmarket,courier-fedex,333532,,true,courier-clearance-fee,FedEx destination clearance fee (unknown),none,,,fromjapan,333745
FR,200,3000,1,0,mercari,zenmarket,small-packet-air,8810,8810,false,,,,,,fromjapan,9066
FR,200,10000,1,0,mercari,zenmarket,small-packet-air,17515,17515,false,,,,,,fromjapan,17720
FR,200,30000,1,0,mercari,fromjapan,small-packet-air,43376,43376,false,,,,,,buyee,43895
FR,200,60000,1,0,mercari,buyee,small-packet-air,82459,82459,false,,,,,,zenmarket,82984
FR,200,100000,1,0,mercari,buyee,small-packet-air,133877,133877,false,,,,,,zenmarket,134403
FR,200,150000,1,0,mercari,buyee,small-packet-air,198151,198151,false,,,,,,zenmarket,198676
FR,200,250000,1,0,mercari,zenmarket,courier-ecms-express,327223,327682,false,,,,,,buyee,329361
FR,500,3000,1,0,mercari,zenmarket,small-packet-air,9583,9583,false,,,,,,fromjapan,9734
FR,500,10000,1,0,mercari,zenmarket,small-packet-air,18288,18288,false,,,,,,fromjapan,18388
FR,500,30000,1,0,mercari,fromjapan,small-packet-air,44071,44071,false,,,,,,buyee,44589
FR,500,60000,1,0,mercari,buyee,small-packet-air,83153,83153,false,,,,,,zenmarket,83837
FR,500,100000,1,0,mercari,buyee,small-packet-air,134572,134572,false,,,,,,zenmarket,135256
FR,500,150000,1,0,mercari,buyee,small-packet-air,198845,198845,false,,,,,,zenmarket,199529
FR,500,250000,1,0,mercari,zenmarket,courier-ecms-express,328076,328705,false,,,,,,buyee,329361
FR,1000,3000,1,0,mercari,fromjapan,small-packet-air,11069,11069,false,,,,,,zenmarket,11127
FR,1000,10000,1,0,mercari,fromjapan,small-packet-air,19723,19723,false,,,,,,zenmarket,19832
FR,1000,30000,1,0,mercari,fromjapan,small-packet-air,45458,45458,false,,,,,,buyee,45976
